Country,Business Entity Suffixes
Moldova,"LLC, JSC, SPC"
Moldova,"S.A., SARL"
Monaco,"SARL, SAM"
Monaco,"Ltd., Inc."
Mongolia,"Lda, SARL"
Montenegro,"d.o.o., AD"
Montenegro,"S.A.,"
Morocco,"SARL, SA, SNC, SCA"
Morocco,S.A.R.L.
Mozambique,"Ltd., Pty Ltd., Inc."
Mozambique,"LLC, S.A."
Myanmar,"Pvt Ltd, Public Ltd., JV, S.A., Ltd."
Namibia,"S.A., S.R.L."
Nauru,"Ltd., S.A."
Nepal,"Pvt Ltd, Ltd., Partnership, LLP, S.A.R.L."
Netherlands,"BV, NV, VOF, CV, Stichting"
New Zealand,"Ltd., LP, Incorporated Society, Charitable Trust"
Nicaragua,"SARL, S.A."
Niger,"Ltd., Pty Ltd. , Inc."
Nigeria,"Ltd., Plc, Unlimited, Ltd./Gte."
North Macedonia,"DOOEL, AD"
Norway,"AS, ASA, ANS, DA, Enkeltpersonforetak"
Oman,"LLC, SAOC, SPC"
Pakistan,"Pvt Ltd, Ltd., Partnership, LLP"
Palau,S.A.
Papua New Guinea,"Pvt Ltd., Ltd."
Paraguay,"S.A., SRL"
Peru,"SAC, SRL, SA, EIRL"
Philippines,"Corp., Inc., Partnership, Cooperative"
Poland,"Sp. z o.o., S.A., Sp. j., Sp. k."
Portugal,"Lda, SA, SCR, SGPS"
Qatar,"Q.P.S.C., LLC, SPC"
Romania,"SRL, SA, SNC, SCS, SCA"
Russia,"OOO, AO, IP, PAO"
San Marino,"Ltd., S.A."
Sao Tome and Principe,S.A.R.L
Saudi Arabia,"Ltd., Co., CJSC, OJSC, LLC"
Serbia,"d.o.o., a.d., k.d."
Singapore,"Pte Ltd, Ltd., LLP, LP"
Slovakia,"s.r.o., a.s."
Slovenia,"d.o.o., d.d."
South Africa,"Pty Ltd, Ltd., CC, NPC, Sole Proprietor"
South Korea,"Ltd., Co., LLC, JV"
Spain,"SL, SA, SRL, SLL, SC"
Sri Lanka,"Pvt Ltd, PLC, LLP, Unlimited Company"
Sweden,"AB, HB, KB, EF"
Switzerland,"AG, GmbH, Sarl, Sàrl, KG, Cooperative"
Tanzania,"Ltd., PLC, LLC"
Thailand,"Co., Ltd., PLC, LP, LLP"
Tunisia,"SARL, SA, SCP"
Turkey,"A.Ş., Ltd. Şti., Komandit Şti., Kolektif Şti."
Uganda,"Ltd., PLC, SACCO"
Ukraine,"TOV, AT, PT, DP"
United Arab Emirates,"LLC, PSC, FZE, FZC, PJSC, PrJSC"
United Kingdom,"Ltd, PLC, LLP, LP, CIC"
United States,"LLC, Inc., Corp., LP, LLP, PC, PLLC"
Uzbekistan,"LLC, JSC, PE, Partnership"
Venezuela,"CA, SRL, SA, SC"
Vietnam,"JSC, LLC, Ltd., Partnership"
Zambia,"Ltd., PLC"
Zimbabwe,"Pvt. Ltd., PLC"
